date;pokup_dol;pokup_evr;pokup_funt;prod_dol;prod_evr;prod_funt;pokup_dol_n;pokup_evr_n;pokup_funt_n;prod_dol_n;prod_evr_n;prod_funt_n
2020-05-06 20:39:24;76.2;82.4;94.25;72.45;78.35;89.55;74.7;80.78;92.64;73.95;79.97;91.16
2020-05-06 20:40:25;76.15;82.35;94.2;72.45;78.3;89.55;74.67;80.73;92.61;73.93;79.92;91.14
2020-05-06 20:41:25;76.15;82.35;94.2;72.45;78.3;89.55;74.67;80.73;92.61;73.93;79.92;91.14
2020-05-06 20:42:25;76.15;82.35;94.2;72.45;78.3;89.55;74.67;80.73;92.61;73.93;79.92;91.14
